breathe	breathes	breathing	breathed
talc	talcs	talcking	talcked
manicure	manicures	manicuring	manicured
barber	barbers	barbering	barbered
pedicure	pedicures	pedicuring	pedicured
spruce	spruces	sprucing	spruced
perfume	perfumes	perfuming	perfumed
scent	scents	scenting	scented
preen	preens	preening	preened
primp	primps	primping	primped
plume	plumes	pluming	plumed
prank	pranks	pranking	pranked
overdress	overdresses	overdressing	overdressed
prink	prinks	prinking	prinked
attire	attires	attiring	attired
enrobe	enrobes	enrobing	enrobed
prim	prims	primming	primmed
bedizen	bedizens	bedizening	bedizened
dizen	dizens	dizening	dizened
underdres	underdress	underdressing	underdressed
curry	curries	currying	curried
reduce	reduces	reducing	reduced
slim	slims	sliming	slimed
slenderize	slenderizes	slenderizing	slenderized
thin	thins	thinning	thinned
gain	gains	gaining	gained
round	rounds	rounding	rounded
hat	hats	hatting	hatted
try	tries	trying	tried
bonnet	bonnets	bonnetting	bonnetted
wear	wears	wearing	wore	worn
bear	bears	bearing	borne
clothe	clothes	clothing	clothed
enclothe	enclothes	enclothing	enclothed
garb	garbs	garbing	garbed
raiment	raiments	raimenting	raimented
tog	togs	togging	togged
garment	garments	garmenting	garmented
habilitate	habilitates	habilitating	habilitated
apparel	apparels	apparelling	apparelled
cover	covers	covering	covered
jacket	jackets	jacketing	jacketed
frock	frocks	frocking	frocked
shirt	shirts	shirting	shirted
habit	habits	habiting	habited
vesture	vestures	vesturing	vestured
overclothe	overclothes	overclothing	overclothed
corset	corsets	corseting	corseted
shoe	shoes	shoeing	shod
undress	undresses	undressing	undressed
discase	discases	discasing	discased
uncase	uncases	uncasing	uncased
unclothe	unclothes	unclothing	unclothed
strip	strips	stripping	stripped
disrobe	disrobes	disrobing	disrobed
peel	peels	peeling	peeled
don	dons	donning	donned
assume	assumes	assuming	assumed
scarf	scarfs	scarfing	scarfed
coat	coats	coating	coated
cross-dres	cross-dress	cross-dressing	cross-dressed
costume	costumes	costuming	costumed
dandify	dandifies	dandifying	dandified
vest	vests	vesting	vested
robe	robes	robing	robed
inseminate	inseminates	inseminating	inseminated
fecundate	fecundates	fecundating	fecundated
fertilize	fertilizes	fertilizing	fertilized
fertilise	fertilises	fertilising	fertilised
stratify	stratifies	stratifying	stratified
impregnate	impregnates	impregnating	impregnated
inoculate	inoculates	inoculating	inoculated
cross-fertilize	cross-fertilizes	cross-fertilizing	cross-fertilized
cross-fertilise	cross-fertilises	cross-fertilising	cross-fertilised
pollinate	pollinates	pollinating	pollinated
pollenate	pollenates	pollenating	pollenated
cross-pollinate	cross-pollinates	cross-pollinating	cross-pollinated
conceive	conceives	conceiving	conceived
nick	nicks	nicking	nicked
beget	begets	begetting	begot	begotten
get	gets	getting	got	gotten
engender	engenders	engendering	engendered
father	fathers	fathering	fathered
mother	mothers	mothering	mothered
sire	sires	siring	sired
generate	generates	generating	generated
ejaculate	ejaculates	ejaculating	ejaculated
reproduce	reproduces	reproducing	reproduced
procreate	procreates	procreating	procreated
multiply	multiplies	multiplying	multiplied
propagate	propagates	propagating	propagated
fructify	fructifies	fructifying	fructified
breed	breeds	breeding	bred
pullulate	pullulates	pullulating	pullulated
spawn	spawns	spawning	spawned
deliver	delivers	delivering	delivered
birth	births	birthing	birthed
have	has	having	had	haven't	hasn't	hadn't
labor	labors	laborring	laborred
labour	labours	labouring	laboured
twin	twins	twinning	twinned
drop	drops	dropping	dropped
foal	foals	foaling	foaled
cub	cubs	cubbing	cubbed
kitten	kittens	kittening	kittened
lamb	lambs	lambing	lambed
litter	litters	littering	littered
whelp	whelps	whelping	whelped
pup	pups	pupping	pupped
farrow	farrows	farrowing	farrowed
pig	pigs	pigging	pigged
fawn	fawns	fawning	fawned
calve	calves	calving	calved
carry	carries	carrying	carried
gestate	gestates	gestating	gestated
expect	expects	expecting	expected
miscarry	miscarries	miscarrying	miscarried
abort	aborts	aborting	aborted
brood	broods	brooding	brooded
hatch	hatches	hatching	hatched
incubate	incubates	incubating	incubated
alter	alters	altering	altered
neuter	neuters	neutering	neutered
spay	spays	spaying	spayed
castrate	castrates	castrating	castrated
defeminize	defeminizes	defeminizing	defeminized
defeminise	defeminises	defeminising	defeminised
emasculate	emasculates	emasculating	emasculated
demasculinize	demasculinizes	demasculinizing	demasculinized
demasculinise	demasculinises	demasculinising	demasculinised
caponize	caponizes	caponizing	caponized
caponise	caponises	caponising	caponised
geld	gelds	gelding	gelt
cut	cuts	cutting	cut
vasectomize	vasectomizes	vasectomizing	vasectomized
vasectomise	vasectomises	vasectomising	vasectomised
sterilize	sterilizes	sterilizing	sterilized
sterilise	sterilises	sterilising	sterilised
desex	desexes	desexing	desexed
unsex	unsexes	unsexing	unsexed
desexualize	desexualizes	desexualizing	desexualized
desexualise	desexualises	desexualising	desexualised
fix	fixes	fixing	fixed
face-lift	face-lifts	face-lifting	face-lifted
lift	lifts	lifting	lifted
trephine	trephines	trephining	trephined
menstruate	menstruates	menstruating	menstruated
flow	flows	flowing	flowed
ovulate	ovulates	ovulating	ovulated
antisepticize	antisepticizes	antisepticizing	antisepticized
autoclave	autoclaves	autoclaving	autoclaved
irritate	irritates	irritating	irritated
inflame	inflames	inflaming	inflamed
soothe	soothes	soothing	soothed
relieve	relieves	relieving	relieved
alleviate	alleviates	alleviating	alleviated
palliate	palliates	palliating	palliated
assuage	assuages	assuaging	assuaged
massage	massages	massaging	massaged
hurt	hurts	hurting	hurt
indispose	indisposes	indisposing	indisposed
suffer	suffers	suffering	suffered
sustain	sustains	sustaining	sustained
wail	wails	wailing	wailed
whimper	whimpers	whimpering	whimpered
mewl	mewls	mewling	mewled
pule	pules	puling	puled
cry	cries	crying	cried
weep	weeps	weeping	wept
bawl	bawls	bawling	bawled
tear	tears	tearing	tore	torn
sob	sobs	sobbing	sobbed
snivel	snivels	snivelling	snivelled
blubber	blubbers	blubbering	blubbered
blub	blubs	blubbing	blubbed
